ALG	Fn	C
louvain2	GO.0050852	43
louvain2	GO.0030258	44
louvain2	GO.0000165	47
louvain2	GO.0002218	47
louvain2	GO.0002224	47
louvain2	GO.0002758	47
louvain2	GO.0007268	48
louvain2	GO.0009165	48
louvain2	GO.0035235	48
louvain2	GO.0050804	48
louvain2	GO.0060078	48
louvain2	GO.0099536	48
louvain2	GO.0099537	48
louvain2	GO.0099565	48
louvain2	GO.0010737	49
louvain2	GO.0060563	49
louvain2	GO.0000165	50
louvain2	GO.0002218	50
louvain2	GO.0002224	50
louvain2	GO.0002756	50
louvain2	GO.0002757	50
louvain2	GO.0002758	50
louvain2	GO.0006979	50
louvain2	GO.0018205	50
louvain2	GO.0030278	50
louvain2	GO.0031098	50
louvain2	GO.0031668	50
louvain2	GO.0031929	50
louvain2	GO.0043406	50
louvain2	GO.0043491	50
louvain2	GO.0046058	50
louvain2	GO.0048660	50
louvain2	GO.0048661	50
louvain2	GO.0050852	50
louvain2	GO.0051403	50
louvain2	GO.0060074	50
louvain2	GO.0046058	51
louvain2	GO.0002224	52
louvain2	GO.0002756	52
louvain2	GO.0006364	52
louvain2	GO.0006614	52
louvain2	GO.0009755	52
louvain2	GO.0019083	52
louvain2	GO.0031668	52
louvain2	GO.0035235	52
louvain2	GO.0006614	54
louvain2	GO.0007212	54
louvain2	GO.0008361	54
louvain2	GO.0031668	54
louvain2	GO.0031929	54
louvain2	GO.0032535	54
louvain2	GO.0032869	54
louvain2	GO.0034341	54
louvain2	GO.0042552	54
louvain2	GO.0043491	54
louvain2	GO.0048660	54
louvain2	GO.0048661	54
louvain2	GO.0060333	54
louvain2	GO.0071346	54
louvain2	GO.0001504	55
louvain2	GO.0006979	55
louvain2	GO.0007268	55
louvain2	GO.0007269	55
louvain2	GO.0042417	55
louvain2	GO.0050808	55
louvain2	GO.0099531	55
louvain2	GO.0099536	55
louvain2	GO.0099537	55
louvain2	GO.0099643	55
louvain2	GO.0000165	56
louvain2	GO.0002757	56
louvain2	GO.0007268	56
louvain2	GO.0007269	56
louvain2	GO.0007411	56
louvain2	GO.0008361	56
louvain2	GO.0016079	56
louvain2	GO.0031346	56
louvain2	GO.0032535	56
louvain2	GO.0034329	56
louvain2	GO.0034330	56
louvain2	GO.0043297	56
louvain2	GO.0043406	56
louvain2	GO.0045216	56
louvain2	GO.0050922	56
louvain2	GO.0051403	56
louvain2	GO.0051591	56
louvain2	GO.0098693	56
louvain2	GO.0099003	56
louvain2	GO.0099504	56
louvain2	GO.0099531	56
louvain2	GO.0099536	56
louvain2	GO.0099537	56
louvain2	GO.0099643	56
louvain2	GO.2000300	56
louvain2	GO.0007411	57
louvain2	GO.0010721	57
louvain2	GO.0030258	57
louvain2	GO.0030278	57
louvain2	GO.0031098	57
louvain2	GO.0031345	57
louvain2	GO.0032608	57
louvain2	GO.0032648	57
louvain2	GO.0048660	57
louvain2	GO.0048661	57
louvain2	GO.0050768	57
louvain2	GO.0051403	57
louvain2	GO.0006364	58
louvain2	GO.0006614	58
louvain2	GO.0019083	58
louvain2	GO.0032535	58
louvain2	GO.0055074	58
louvain2	GO.0007269	59
louvain2	GO.0032869	59
louvain2	GO.0099531	59
louvain2	GO.0099643	59
louvain2	GO.0000165	60
louvain2	GO.0002218	60
louvain2	GO.0002224	60
louvain2	GO.0002431	60
louvain2	GO.0002757	60
louvain2	GO.0002758	60
louvain2	GO.0010611	60
louvain2	GO.0019722	60
louvain2	GO.0019933	60
louvain2	GO.0031929	60
louvain2	GO.0032869	60
louvain2	GO.0043297	60
louvain2	GO.0046058	60
louvain2	GO.0050770	60
louvain2	GO.0050853	60
louvain2	GO.0055074	60
louvain2	GO.0060333	60
louvain2	GO.0070528	60
louvain2	GO.0086065	60
louvain2	GO.0002218	61
louvain2	GO.0002757	61
louvain2	GO.0002758	61
louvain2	GO.0007212	61
louvain2	GO.0007223	61
louvain2	GO.0019933	61
louvain2	GO.0043414	61
louvain2	GO.0046058	61
louvain2	GO.0050852	61
louvain2	GO.0000165	62
louvain2	GO.0002431	62
louvain2	GO.0002757	62
louvain2	GO.0007268	62
louvain2	GO.0007411	62
louvain2	GO.0007416	62
louvain2	GO.0030258	62
louvain2	GO.0031346	62
louvain2	GO.0032288	62
louvain2	GO.0032869	62
louvain2	GO.0034329	62
louvain2	GO.0034330	62
louvain2	GO.0038083	62
louvain2	GO.0043406	62
louvain2	GO.0043491	62
louvain2	GO.0045216	62
louvain2	GO.0048168	62
louvain2	GO.0050804	62
louvain2	GO.0050808	62
louvain2	GO.0050852	62
louvain2	GO.0050853	62
louvain2	GO.0051591	62
louvain2	GO.0055074	62
louvain2	GO.0060078	62
louvain2	GO.0098693	62
louvain2	GO.0099536	62
louvain2	GO.0099537	62
louvain2	GO.0007416	63
louvain2	GO.0008361	63
louvain2	GO.0031346	63
louvain2	GO.0050770	63
louvain2	GO.0050808	63
louvain2	GO.0061387	63
louvain2	GO.0002218	64
louvain2	GO.0002757	64
louvain2	GO.0002758	64
louvain2	GO.0031098	64
louvain2	GO.0032479	64
louvain2	GO.0032480	64
louvain2	GO.0032606	64
louvain2	GO.0034341	64
louvain2	GO.0042552	64
louvain2	GO.0043406	64
louvain2	GO.0050852	64
louvain2	GO.0051403	64
louvain2	GO.0060333	64
louvain2	GO.0071346	64
louvain2	GO.0002218	65
louvain2	GO.0002431	65
louvain2	GO.0002757	65
louvain2	GO.0002758	65
louvain2	GO.0008361	65
louvain2	GO.0010721	65
louvain2	GO.0031098	65
louvain2	GO.0031346	65
louvain2	GO.0032535	65
louvain2	GO.0034329	65
louvain2	GO.0034330	65
louvain2	GO.0045216	65
louvain2	GO.0050770	65
louvain2	GO.0050771	65
louvain2	GO.0009755	66
louvain2	GO.0016458	66
louvain2	GO.0030203	66
louvain2	GO.0000165	67
louvain2	GO.0007223	67
louvain2	GO.0007411	67
louvain2	GO.0008361	67
