ENTREZ.ID	GENE.NAME	DEGREE	SR_UP	SR_DOWN
7407	VARS1	4	0.667743339780771	0.668020146617469
7385	UQCRC2	6	0.667715205184751	0.668010411401397
347733	TUBB2B	7	0.667693405757011	0.668007546505631
7102	TSPAN7	3	0.667791923383562	0.668021712750373
55149	MTPAP	5	0.667798116130867	0.668005975918754
10728	PTGES3	12	0.667572310812575	0.667990608966484
54954	FAM120C	2	0.667848834167103	0.668020060075575
5585	PKN1	33	0.667486774468621	0.667870946793482
3417	IDH1	2	0.667825662690436	0.668023168327092
23479	ISCU	10	0.667645874861218	0.667994873053925
3801	KIFC3	76	0.66811294738176	0.6675214976874
254122	SNX32	3	0.667754808034202	0.668026085258648
1329	COX5B	15	0.667595721300326	0.667969061824746
64210	MMS19	3	0.667779973811783	0.668023418738223
1641	DCX	9	0.667654653111587	0.667998712424127
23208	SYT11	4	0.667718686644637	0.668024469630641
1808	DPYSL2	11	0.667584926886426	0.667996584808767
54623	PAF1	5	0.667734481300513	0.668014486542066
90423	ATP6V1E2	2	0.667742148946661	0.668038437930895
55739	NAXD	5	0.667772086595336	0.668009379815198
5354	PLP1	14	0.667441277320697	0.667998707190073
7170	TPM3	16	0.667292600970744	0.668006481088282
3329	HSPD1	204	0.667847790074326	0.667025308971711
54793	KCTD9	32	0.667427194748392	0.667883748364361
4798	NFRKB	7	0.667738404091286	0.668002389044169
4691	NCL	28	0.667405672131847	0.66791707026596
4000	LMNA	220	0.670359182172588	0.666445795602407
120892	LRRK2	131	0.668049746007926	0.667251131882216
12	SERPINA3	4	0.667589396914234	0.66804570195537
128	ADH5	4	0.667710789722517	0.668025304238805
156	GRK2	11	0.667503349277138	0.668007760096689
158	ADSL	9	0.66766027914935	0.667999461469328
162	AP1B1	11	0.667298673613281	0.668038879314233
2046	EPHA8	6	0.667504319819905	0.668042171183536
230	ALDOC	5	0.667658035869141	0.668026324180624
2730	GCLM	4	0.667780719289847	0.668015199232886
2969	GTF2I	15	0.667335358140365	0.668007659378178
3176	HNMT	1	0.667895682651036	0.668020967213351
479	ATP12A	2	0.667816269541453	0.668024509376198
535	ATP6V0A1	6	0.667388332806956	0.668067290202925
6191	RPS4X	5	0.667677145969478	0.668022510317262
7372	UMPS	8	0.667490176186684	0.668029713887991
1025	CDK9	14	0.667577219910717	0.667976257428772
10810	WASF3	6	0.667715734937123	0.668010457398304
1452	CSNK1A1	21	0.667696219515454	0.667915032041951
1610	DAO	2	0.667855784809325	0.66801908346111
1620	BRINP1	1	0.667912336866761	0.668018642992568
1845	DUSP3	5	0.667735043756956	0.668014868959054
1983	EIF5	4	0.6677807047595	0.668017454074075
2263	FGFR2	13	0.667373576160643	0.668014805123551
2617	GARS1	9	0.66754374114405	0.668017006868914
2673	GFPT1	5	0.667834917913062	0.668001172967232
2746	GLUD1	7	0.667777313894612	0.667995571104356
2776	GNAQ	9	0.667364159189399	0.668046620168404
2879	GPX4	4	0.667679343359409	0.668029904008216
2898	GRIK2	4	0.667740350643224	0.668021287570344
2935	GSPT1	4	0.667675532106886	0.668030515927663
3101	HK3	2	0.667784135609783	0.668029656819122
3295	HSD17B4	8	0.66761481819429	0.668014502832294
3419	IDH3A	2	0.667852998070671	0.668019776478062
4001	LMNB1	20	0.667369994210035	0.667971833770482
4008	LMO7	11	0.667694019036333	0.667981519224679
427	ASAH1	1	0.667867002248169	0.66802574708535
4363	ABCC1	7	0.667773561927785	0.667998696334633
5027	P2RX7	4	0.667821803893659	0.668009763507657
5108	PCM1	107	0.668986350304476	0.667223248345814
53826	FXYD6	13	0.667316449604753	0.668027528819945
5494	PPM1A	25	0.667373542508494	0.667936268024632
5516	PPP2CB	19	0.667450156856789	0.667966524304171
55624	POMGNT1	2	0.667859055091852	0.668018819534361
5567	PRKACB	17	0.667539296517504	0.667965314793539
5578	PRKCA	49	0.667549188555152	0.667764276575383
5589	PRKCSH	16	0.66729352249965	0.668017152121393
5609	MAP2K7	16	0.667512330919382	0.667972884032278
5629	PROX1	4	0.667725078521243	0.668022862034901
5716	PSMD10	3	0.667655488159361	0.668046215589668
