HDO.ID	Disease.long	Disease	N	HDO.ID	Disease.long	Disease	N	sAB	Separated	Overlap	zScore	pvalue	Separation/Overlap.than.chance	Bonferroni	q-value	HDO.ID	Disease.long	Disease	N	HDO.ID	Disease.long	Disease	N	sAB	Separated	Overlap	zScore	pvalue	Separation/Overlap.than.chance	Bonferroni	q-value	HDO.ID	Disease.long	Disease	N	HDO.ID	Disease.long	Disease	N	sAB	Separated	Overlap	zScore	pvalue	Separation/Overlap.than.chance	Bonferroni	q-value
DOID:12849	Autistic_disorder	AUT	95	DOID:14330	Parkinson's_disease	PD	108	-0.17077079672361	.	YES	-0.966585700738441	0.333751185701245	Smaller	.	0.66750237140249	DOID:12849	Autistic_disorder	AUT	153	DOID:14330	Parkinson's_disease	PD	167	-0.144732838245079	.	YES	-1.00540864602465	0.314700118312865	Smaller	.	0.598697786058621	DOID:12849	Autistic_disorder	AUT	209	DOID:14330	Parkinson's_disease	PD	222	-0.143588175704429	.	YES	-1.54342051018235	0.122728780448256	Smaller	.	0.258725537161188
DOID:12849	Autistic_disorder	AUT	95	DOID:9255	Frontotemporal_dementia	FTD	81	0.0124955697324121	YES	.	1.41783282900897	0.156239577073033	larger	.	0.420230586610227	DOID:12849	Autistic_disorder	AUT	153	DOID:9255	Frontotemporal_dementia	FTD	102	0.0986928104575164	YES	.	2.88176937398382	0.00395449057348971	larger	.	0.0171361258184554	DOID:12849	Autistic_disorder	AUT	209	DOID:9255	Frontotemporal_dementia	FTD	121	0.0732637378570393	YES	.	2.41509071357312	0.0157312912493748	larger	.	0.0557745780659652
DOID:12849	Autistic_disorder	AUT	95	DOID:2377	Multiple_Sclerosis	MS	96	-0.11552740653991	.	YES	-0.205324147005818	0.837318879356558	Smaller	.	1	DOID:12849	Autistic_disorder	AUT	153	DOID:2377	Multiple_Sclerosis	MS	134	-0.08268080924883	.	YES	0.0399216388439055	0.968155599550275	larger	.	1	DOID:12849	Autistic_disorder	AUT	209	DOID:2377	Multiple_Sclerosis	MS	199	-0.134779170738767	.	YES	-1.37147227333151	0.170227781045252	Smaller	.	0.331944173038241
DOID:5419	Schizophrenia	SCH	366	DOID:5419	Schizophrenia	SCH	366	0	.	.	0	1	larger	.	1	DOID:5419	Schizophrenia	SCH	535	DOID:5419	Schizophrenia	SCH	535	0	.	.	0	1	larger	.	1	DOID:5419	Schizophrenia	SCH	694	DOID:5419	Schizophrenia	SCH	694	0	.	.	0	1	larger	.	1
DOID:5419	Schizophrenia	SCH	366	DOID:0060041	Autism_Spectrum_Disorder	ASD	97	-0.18689112273418	.	YES	-3.19575438065576	0.00139465781762208	Smaller	.	0.00988939179768384	DOID:5419	Schizophrenia	SCH	535	DOID:0060041	Autism_Spectrum_Disorder	ASD	154	-0.237497003085083	.	YES	-5.39851739565781	6.71938538662586e-08	Smaller	***	8.73520100261362e-07	DOID:5419	Schizophrenia	SCH	694	DOID:0060041	Autism_Spectrum_Disorder	ASD	212	-0.298621116264878	.	YES	-8.39273686177433	4.74953837854949e-17	Smaller	***	6.17439989211434e-16
DOID:5419	Schizophrenia	SCH	366	DOID:1826	Epilepsy_syndrome	Epi	138	-0.282717589292786	.	YES	-3.6433513735397	0.000269111071282589	Smaller	*	0.00299866622286313	DOID:5419	Schizophrenia	SCH	535	DOID:1826	Epilepsy_syndrome	Epi	228	-0.259837157198922	.	YES	-4.13107779803414	3.61066349559738e-05	Smaller	**	0.000281631752656596	DOID:5419	Schizophrenia	SCH	694	DOID:1826	Epilepsy_syndrome	Epi	288	-0.18382967747016	.	YES	-3.45949323560489	0.000541192870617761	Smaller	*	0.00263831524426158
DOID:5419	Schizophrenia	SCH	366	DOID:1059	Intellectual_Disability	ID	103	-0.055402824896911	.	YES	-0.386622793032274	0.699035481326587	Smaller	.	1	DOID:5419	Schizophrenia	SCH	535	DOID:1059	Intellectual_Disability	ID	159	-0.082359565350179	.	YES	-1.29558412496697	0.195118801313256	Smaller	.	0.423307356780161	DOID:5419	Schizophrenia	SCH	694	DOID:1059	Intellectual_Disability	ID	240	-0.099494700162708	.	YES	-1.72399444835891	0.0847088453843474	Smaller	.	0.188779712570831
DOID:5419	Schizophrenia	SCH	366	DOID:10763	Hypertension	HTN	132	-0.168067949891967	.	YES	-1.45543653511024	0.145548448079708	Smaller	.	0.410781538293457	DOID:5419	Schizophrenia	SCH	535	DOID:10763	Hypertension	HTN	195	-0.0934759986737965	.	YES	-0.45489028237766	0.649188174338929	Smaller	.	0.973782261508393	DOID:5419	Schizophrenia	SCH	694	DOID:10763	Hypertension	HTN	298	-0.123674793781855	.	YES	-1.2339629958319	0.217216693420426	Smaller	.	0.403402430637934
DOID:5419	Schizophrenia	SCH	366	DOID:12858	Huntington's_disease	HD	43	0.119748006864235	YES	.	-0.87590615071161	0.381081055523533	Smaller	.	0.743108058270889	DOID:5419	Schizophrenia	SCH	535	DOID:12858	Huntington's_disease	HD	58	0.222686009676758	YES	.	0.757590833000723	0.448695969716799	larger	.	0.79541558267978	DOID:5419	Schizophrenia	SCH	694	DOID:12858	Huntington's_disease	HD	84	0.181271504030666	YES	.	0.564657593333201	0.572306683464232	larger	.	0.776801719242969
DOID:5419	Schizophrenia	SCH	366	DOID:14330	Parkinson's_disease	PD	108	-0.109816082943288	.	YES	-1.2302466488797	0.218604756049069	Smaller	.	0.508109573237076	DOID:5419	Schizophrenia	SCH	535	DOID:14330	Parkinson's_disease	PD	167	-0.101865986056484	.	YES	-1.51317787879849	0.130234481680472	Smaller	.	0.327686760357317	DOID:5419	Schizophrenia	SCH	694	DOID:14330	Parkinson's_disease	PD	222	-0.0673331959244898	.	YES	-1.15345265204413	0.248724640965404	Smaller	.	0.440920954438671
