entA	entB	We
351	5354	1
351	5108	1
351	847	1
351	7267	1
351	6733	1
351	55361	1
351	56899	1
351	8650	1
351	30968	1
351	321	1
351	811	1
351	10128	1
351	4916	1
351	5116	1
351	5872	1
351	9217	1
351	4763	1
351	84894	1
351	57528	1
351	55754	1
351	5980	1
351	8774	1
9863	2066	1
9863	9228	1
9863	58512	1
9863	22839	1
9863	10458	1
9863	9693	1
9863	2903	1
9863	22871	1
9863	2905	1
9863	1915	1
9863	23095	1
9863	2895	1
9863	1499	1
9863	2043	1
9863	57555	1
9863	1501	1
9863	23109	1
9863	9229	1
9863	51248	1
9863	6389	1
9863	9900	1
9863	60412	1
8491	50618	1
8491	10987	1
8491	4893	1
8491	10580	1
8491	3845	1
8491	5588	1
30011	1742	1
30011	10015	1
30011	50618	1
30011	6457	1
30011	5684	1
30011	7316	1
30011	10657	1
30011	10801	1
30011	84445	1
30011	7159	1
30011	56904	1
30011	23109	1
30011	23294	1
30011	8853	1
30011	3635	1
51517	10458	1
51517	3315	1
51517	2534	1
51517	10152	1
51517	5300	1
51517	8440	1
51517	221184	1
51517	8522	1
51517	81624	1
5195	70	1
5195	6601	1
5195	439	1
5195	847	1
5195	5830	1
5195	51138	1
5195	56993	1
5195	9804	1
5193	5192	1
5193	23770	1
5193	5830	1
5193	53826	1
5193	5780	1
5193	11343	1
5193	8834	1
5193	9071	1
2475	2280	1
2475	5861	1
2475	6774	1
2475	5170	1
2475	2932	1
2475	4893	1
2475	26100	1
2475	6195	1
2475	3845	1
2475	6772	1
2475	10243	1
2475	11140	1
2475	5578	1
2475	57521	1
2475	2782	1
2475	4735	1
2475	57580	1
2475	64121	1
3798	1838	1
3798	7251	1
3798	9693	1
3798	6453	1
3798	9001	1
3798	5300	1
3798	81565	1
3798	55763	1
3798	7159	1
3798	2332	1
3798	4000	1
3798	9448	1
3798	10499	1
3799	8773	1
3799	9693	1
3799	324	1
3799	5575	1
3799	2932	1
3799	2332	1
3799	6293	1
3799	5479	1
3799	51361	1
3799	5577	1
3799	10499	1
3799	84376	1
3799	3746	1
3799	64753	1
3799	8887	1
3800	1459	1
3800	1457	1
3800	23043	1
3800	2332	1
3800	7430	1
3800	51361	1
3800	8411	1
3800	10499	1
5898	3315	1
5898	51726	1
5898	4893	1
5898	149371	1
5898	55770	1
5898	3845	1
5898	801	1
5898	808	1
5898	9126	1
5898	23109	1
5898	5333	1
3146	708	1
3146	142	1
3146	3309	1
3146	1400	1
3146	3064	1
3146	81631	1
3146	2130	1
3146	5582	1
3146	5580	1
3146	6159	1
3146	6224	1
3146	55740	1
3146	5578	1
3146	7295	1
3146	4204	1
3146	5579	1
3146	6206	1
3146	718	1
3320	1615	1
3320	2058	1
3320	5894	1
3320	2066	1
3320	5058	1
3320	1956	1
3320	4035	1
3320	1457	1
3320	5859	1
3320	1191	1
3320	10598	1
3320	369	1
3320	5792	1
3320	3315	1
3320	2932	1
3320	10273	1
3320	6189	1
3320	4141	1
3320	6271	1
3320	1780	1
3320	5590	1
3320	10910	1
3320	11140	1
3320	3326	1
3320	10728	1
3320	1452	1
3320	5567	1
3320	2768	1
3320	120892	1
3320	283455	1
3320	5536	1
3320	192669	1
3320	7266	1
3320	6840	1
3320	50809	1
3320	8943	1
1615	1191	1
1615	1915	1
2058	4869	1
2058	8349	1
2058	5917	1
2058	3376	1
5310	1674	1
5310	7431	1
5310	55729	1
5310	2534	1
5310	23396	1
5310	2011	1
5310	3856	1
5310	6000	1
1674	5493	1
1674	7431	1
1674	4747	1
1674	6453	1
1674	3315	1
1674	2670	1
1674	2023	1
1674	22954	1
1674	54477	1
1674	1832	1
1674	5630	1
1674	1656	1
1674	5317	1
1674	7525	1
1674	3860	1
1674	823	1
1674	9529	1
5573	7534	1
5573	5894	1
5573	5575	1
5573	2932	1
5573	4893	1
5573	5566	1
5573	3845	1
5573	5903	1
5573	2332	1
5573	56252	1
5573	5567	1
5573	23111	1
5573	10564	1
5573	821	1
5573	8165	1
5573	7381	1
5573	9495	1
7249	7534	1
7249	7529	1
7249	7532	1
7249	2932	1
7249	5300	1
7249	7248	1
7249	5066	1
7249	6009	1
7249	5562	1
7249	5654	1
4291	27101	1
4291	7534	1
4291	7531	1
4291	5894	1
4291	2783	1
4291	369	1
4291	5708	1
4291	10273	1
4291	5955	1
4291	2901	1
4291	10681	1
4291	1781	1
4291	140735	1
4291	10049	1
4291	2870	1
4291	4691	1
4291	10456	1
4291	1181	1
4291	9532	1
4291	8079	1
4291	5709	1
4291	80755	1
4291	2781	1
4291	3300	1
4291	1384	1
4291	2782	1
4291	7260	1
4291	4128	1
4291	5875	1
4291	2107	1
4291	81027	1
4291	8787	1
4291	9531	1
27101	5894	1
27101	2130	1
27101	1499	1
27101	5594	1
27101	6500	1
27101	5578	1
27101	1374	1
27101	22820	1
27101	9532	1
27101	2781	1
27101	1384	1
27101	10672	1
27101	4129	1
27101	55226	1
27101	7283	1
27101	6130	1
27101	8682	1
27101	8943	1
27101	9701	1
322	1956	1
322	4035	1
322	5621	1
322	334	1
322	23327	1
322	9844	1
322	4893	1
322	3845	1
322	55740	1
322	382	1
322	301	1
322	10178	1
53616	7534	1
53616	7529	1
53616	10971	1
53616	1739	1
53616	23513	1
53616	2059	1
53616	3055	1
53616	5880	1
53616	9211	1
7534	7531	1
7534	7532	1
7534	3984	1
7534	1072	1
7534	5894	1
7534	2547	1
7534	5058	1
7534	1956	1
7534	4216	1
7534	4217	1
7534	10987	1
7534	10458	1
7534	369	1
7534	23327	1
7534	3315	1
7534	2037	1
7534	9001	1
7534	10419	1
7534	11345	1
7534	5127	1
7534	5566	1
7534	7415	1
7534	7337	1
7534	2023	1
7534	81565	1
7534	4137	1
7534	5590	1
7534	7248	1
7534	8661	1
7534	7001	1
7534	5599	1
7534	5581	1
7534	4627	1
7534	3097	1
7534	23108	1
7534	55835	1
7534	55177	1
7534	11346	1
7534	120892	1
7534	9493	1
7534	5906	1
7534	8567	1
7534	65268	1
7534	6854	1
7534	9610	1
7534	8745	1
7534	8570	1
2561	708	1
2561	160622	1
2561	9743	1
2561	10564	1
2561	2566	1
7531	7529	1
7531	7532	1
7531	10971	1
7531	7533	1
7531	5894	1
7531	2495	1
7531	4217	1
7531	369	1
7531	2905	1
7531	3315	1
7531	9588	1
7531	10142	1
7531	2273	1
7531	2597	1
7531	9001	1
7531	3757	1
7531	55198	1
7531	10432	1
7531	7337	1
7531	81565	1
7531	5218	1
7531	801	1
7531	10486	1
7531	4513	1
7531	3097	1
7531	4628	1
7531	23108	1
7531	55835	1
7531	5108	1
7531	8573	1
7531	22841	1
7531	26059	1
7531	6854	1
7531	9610	1
7531	7064	1
5048	1457	1
5048	5049	1
5048	10540	1
5048	3735	1
5048	1639	1
5048	6249	1
5048	81565	1
5048	23043	1
5048	10726	1
5048	1778	1
7529	7532	1
7529	10971	1
7529	5894	1
7529	1956	1
7529	815	1
7529	7431	1
7529	3064	1
7529	4217	1
7529	3315	1
7529	23136	1
7529	81565	1
7529	4641	1
7529	5590	1
7529	5218	1
7529	55177	1
7529	6733	1
7529	816	1
7529	120892	1
7529	9610	1
7532	10971	1
7532	5894	1
7532	5058	1
7532	10987	1
7532	369	1
7532	23327	1
7532	2037	1
7532	23136	1
7532	81565	1
7532	3097	1
7532	4628	1
7532	55835	1
7532	55177	1
7532	11346	1
7532	120892	1
7532	340527	1
7532	84630	1
10971	1956	1
10971	7316	1
10971	4217	1
10971	3315	1
10971	5127	1
10971	1781	1
10971	81565	1
10971	4137	1
10971	5590	1
10971	5218	1
10971	120892	1
10971	23164	1
10971	84376	1
7533	22995	1
